ID,NETWORK,HEADLINE,SENTIMENT-LABEL,SENTIMENT-SCORE,EMOTION-SADNESS,EMOTION-FEAR,EMOTION-ANGER,EMOTION-DISGUST,EMOTION-JOY,PUTIN,TRUMP,TRUDEAU
25,"CBC
","What 3 legal minds think about the Omar Khadr settlement
",neutral,0.0,0.140624,0.168885,0.161364,0.062307,0.256602,0,0,0
26,"CBC
","Bank of Canada raises interest rate for 1st time in 7 years to 0.75%
",negative,-0.526206,0.249858,0.050646,0.058354,0.089373,0.275828,0,0,0
27,"CBC
","Canadian military exchange pilots flew in combat: documents
",neutral,0.0,0.121176,0.133597,0.13757,0.293365,0.033898,0,0,0
28,"CBC
","Don't drain the swamp: report says wetlands help avert flood damage
",negative,-0.776631,0.28728,0.323545,0.221157,0.065788,0.005999,0,0,0
29,"CBC
","Manitoba families want national MMIWG inquiry commissioners replaced, regional inquiry created
",neutral,0.0,0.183581,0.029994,0.096102,0.16095,0.273637,0,0,0
30,"CBC
","'What is going on?': Family members want to know what's happening to MMIWG inquiry
",neutral,0.0,0.32946,0.109761,0.119055,0.045099,0.045933,0,0,0
31,"CBC
","Montreal nixes sovereignist group's plan to mark Charles de Gaulle's 'Vive le Quebec libre!"" speech
",positive,0.688072,,,,,,0,0,0
32,"CBC
","Carbon pricing, pensions addressed by NDP leadership candidates at Saskatoon debate
",neutral,0.0,0.216514,0.19266,0.06359,0.252934,0.009223,0,0,0
33,"CBC
","Missing and murdered inquiry to forge ahead despite resignation of key commissioner
",negative,-0.646526,0.626424,0.080227,0.276212,0.11458,0.053483,0,0,0
34,"CBC
","Trudeau to hold formal bilateral meeting with U.S. VP Mike Pence
",neutral,0.0,0.173057,0.033979,0.085109,0.035057,0.090363,0,0,1
35,"CBC
","Canada stumps up cash for family planning in developing world, but won't criticize Trump for stepping back
",negative,-0.570372,0.312388,0.047231,0.050086,0.110045,0.322439,0,1,0
36,"CBC
","Watch Power & Politics for July 11, 2017
",positive,0.608044,0.501142,0.044394,0.112832,0.1756,0.145223,0,0,0
